date,year,month,return_pct,cycle_label
1969-02-01,1969,2,-5.4,post_election_year
1969-03-01,1969,3,3.12,post_election_year
1969-04-01,1969,4,1.99,post_election_year
1969-05-01,1969,5,0.39,post_election_year
1969-06-01,1969,6,-6.68,post_election_year
1969-07-01,1969,7,-6.47,post_election_year
1969-08-01,1969,8,5.19,post_election_year
1969-09-01,1969,9,-2.35,post_election_year
1969-10-01,1969,10,5.66,post_election_year
1969-11-01,1969,11,-3.28,post_election_year
1969-12-01,1969,12,-1.99,post_election_year
1970-01-01,1970,1,-7.5,midterm_year
1970-02-01,1970,2,5.76,midterm_year
1970-03-01,1970,3,-0.49,midterm_year
1970-04-01,1970,4,-10.49,midterm_year
1970-05-01,1970,5,-6.37,midterm_year
1970-06-01,1970,6,-5.22,midterm_year
1970-07-01,1970,7,7.44,midterm_year
1970-08-01,1970,8,5.03,midterm_year
1970-09-01,1970,9,4.72,midterm_year
1970-10-01,1970,10,-1.81,midterm_year
1970-11-01,1970,11,5.08,midterm_year
1970-12-01,1970,12,6.16,midterm_year
1971-01-01,1971,1,5.21,pre_election_year
1971-02-01,1971,2,1.74,pre_election_year
1971-03-01,1971,3,4.42,pre_election_year
1971-04-01,1971,4,3.43,pre_election_year
1971-05-01,1971,5,-3.7,pre_election_year
1971-06-01,1971,6,0.28,pre_election_year
1971-07-01,1971,7,-4.09,pre_election_year
1971-08-01,1971,8,4.26,pre_election_year
1971-09-01,1971,9,-0.49,pre_election_year
1971-10-01,1971,10,-4.05,pre_election_year
1971-11-01,1971,11,-0.09,pre_election_year
1971-12-01,1971,12,9.08,pre_election_year
1972-01-01,1972,1,2.76,election_year
1972-02-01,1972,2,3.12,election_year
1972-03-01,1972,3,0.89,election_year
1972-04-01,1972,4,0.58,election_year
1972-05-01,1972,5,1.59,election_year
1972-06-01,1972,6,-2.14,election_year
1972-07-01,1972,7,-0.49,election_year
1972-08-01,1972,8,3.56,election_year
1972-09-01,1972,9,-0.8,election_year
1972-10-01,1972,10,0.92,election_year
1972-11-01,1972,11,4.97,election_year
1972-12-01,1972,12,0.99,election_year
1973-01-01,1973,1,-2.83,post_election_year
1973-02-01,1973,2,-4.43,post_election_year
1973-03-01,1973,3,-0.84,post_election_year
1973-04-01,1973,4,-5.16,post_election_year
1973-05-01,1973,5,-2.46,post_election_year
1973-06-01,1973,6,-1.06,post_election_year
1973-07-01,1973,7,5.68,post_election_year
1973-08-01,1973,8,-3.12,post_election_year
1973-09-01,1973,9,5.42,post_election_year
1973-10-01,1973,10,-0.18,post_election_year
1973-11-01,1973,11,-12.22,post_election_year
1973-12-01,1973,12,1.23,post_election_year
1974-01-01,1974,1,0.47,midterm_year
1974-02-01,1974,2,0.12,midterm_year
1974-03-01,1974,3,-2.26,midterm_year
1974-04-01,1974,4,-4.53,midterm_year
1974-05-01,1974,5,-3.95,midterm_year
1974-06-01,1974,6,-2.24,midterm_year
1974-07-01,1974,7,-7.36,midterm_year
1974-08-01,1974,8,-8.79,midterm_year
1974-09-01,1974,9,-10.98,midterm_year
1974-10-01,1974,10,16.62,midterm_year
1974-11-01,1974,11,-3.99,midterm_year
1974-12-01,1974,12,-2.74,midterm_year
1975-01-01,1975,1,14.25,pre_election_year
1975-02-01,1975,2,5.99,pre_election_year
1975-03-01,1975,3,3.07,pre_election_year
1975-04-01,1975,4,4.66,pre_election_year
1975-05-01,1975,5,5.64,pre_election_year
1975-06-01,1975,6,5.28,pre_election_year
1975-07-01,1975,7,-6.12,pre_election_year
1975-08-01,1975,8,-2.36,pre_election_year
1975-09-01,1975,9,-3.73,pre_election_year
1975-10-01,1975,10,5.88,pre_election_year
1975-11-01,1975,11,3.06,pre_election_year
1975-12-01,1975,12,-1.12,pre_election_year
1976-01-01,1976,1,12.62,election_year
1976-02-01,1976,2,0.65,election_year
1976-03-01,1976,3,2.72,election_year
1976-04-01,1976,4,-1.07,election_year
1976-05-01,1976,5,-0.97,election_year
1976-06-01,1976,6,4.49,election_year
1976-07-01,1976,7,-0.59,election_year
1976-08-01,1976,8,-0.15,election_year
1976-09-01,1976,9,2.5,election_year
1976-10-01,1976,10,-2.01,election_year
1976-11-01,1976,11,0.76,election_year
1976-12-01,1976,12,6.05,election_year
1977-01-01,1977,1,-3.67,post_election_year
1977-02-01,1977,2,-1.59,post_election_year
1977-03-01,1977,3,-0.97,post_election_year
1977-04-01,1977,4,0.53,post_election_year
1977-05-01,1977,5,-1.1,post_election_year
1977-06-01,1977,6,5.12,post_election_year
1977-07-01,1977,7,-1.27,post_election_year
1977-08-01,1977,8,-1.32,post_election_year
1977-09-01,1977,9,0.16,post_election_year
1977-10-01,1977,10,-3.9,post_election_year
1977-11-01,1977,11,4.5,post_election_year
1977-12-01,1977,12,0.76,post_election_year
1978-01-01,1978,1,-5.51,midterm_year
1978-02-01,1978,2,-0.93,midterm_year
1978-03-01,1978,3,3.38,midterm_year
1978-04-01,1978,4,8.41,midterm_year
1978-05-01,1978,5,2.27,midterm_year
1978-06-01,1978,6,-1.15,midterm_year
1978-07-01,1978,7,5.68,midterm_year
1978-08-01,1978,8,4.34,midterm_year
1978-09-01,1978,9,-0.82,midterm_year
1978-10-01,1978,10,-11.22,midterm_year
1978-11-01,1978,11,3.41,midterm_year
1978-12-01,1978,12,1.65,midterm_year
